0000A712
time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-25T15:10:49.390Z,-23.3085,179.2413,561.2,4.7,mb,,81,5.646,0.99,us,us20006tvk,2016-08-25T15:56:06.040Z,"South of the Fiji Islands",earthquake,10,4.3,0.043,161,reviewed,us,us
2016-08-25T14:56:17.260Z,20.0286674,-155.4425049,44.5,2.57,md,27,201,0.1704,0.24,hv,hv61388781,2016-08-25T14:59:35.520Z,"6km SSE of Honoka'a, Hawaii",earthquake,0.81,1.4,0.09,4,automatic,hv,hv
2016-08-25T14:49:36.000Z,65.2884,-150.0079,15,2.3,ml,,,,0.95,ak,ak13878684,2016-08-25T15:03:48.000Z,"43km NE of Manley Hot Springs, Alaska",earthquake,0.3,0.2,,,automatic,ak,ak
2016-08-25T14:47:58.590Z,35.9883333,-117.9215,3.18,1.83,ml,20,64,0.09275,0.12,ci,ci37671456,2016-08-25T16:30:42.973Z,"6km NNW of Little Lake, CA",earthquake,0.26,1.17,0.217,25,reviewed,ci,ci
2016-08-25T14:45:13.000Z,60.3995,-151.0319,50,1.5,ml,,,,0.09,ak,ak13878682,2016-08-25T14:54:41.647Z,"9km S of Soldotna, Alaska",earthquake,0.4,1.3,,,automatic,ak,ak
2016-08-25T14:44:46.760Z,35.9521667,-117.658,3.29,0.98,ml,11,72,0.007507,0.09,ci,ci37381917,2016-08-25T16:23:13.349Z,"22km E of Little Lake, CA",earthquake,0.18,0.27,0.158,9,reviewed,ci,ci
2016-08-25T14:44:40.200Z,19.155,-64.7751,46,2.3,Md,4,320.4,0.81656859,0.17,pr,pr16238019,2016-08-25T18:20:43.599Z,"83km NNW of Road Town, British Virgin Islands",earthquake,4.8,11.2,0,4,reviewed,pr,pr
2016-08-25T14:44:37.640Z,35.95,-117.6571667,3.2,1.2,ml,20,62,0.005892,0.14,ci,ci37671448,2016-08-25T16:19:04.802Z,"22km E of Little Lake, CA",earthquake,0.19,0.31,0.192,11,reviewed,ci,ci
2016-08-25T14:40:34.000Z,68.8874,-143.9998,0.8,2,ml,,,,0.66,ak,ak13878680,2016-08-25T17:01:06.578Z,"105km NE of Arctic Village, Alaska",earthquake,0.4,0.4,,,reviewed,ak,ak
2016-08-25T14:39:20.200Z,19.2192,-64.7352,30,1.9,Md,4,327.6,0.88304392,0.07,pr,pr16238018,2016-08-25T18:10:27.454Z,"89km N of Road Town, British Virgin Islands",earthquake,1.5,9.6,0,3,reviewed,pr,pr
2016-08-25T14:35:32.800Z,35.9851667,-117.927,3.13,0.5,mh,9,106,0.09559,0.09,ci,ci37671440,2016-08-25T16:07:51.868Z,"6km NNW of Little Lake, CA",earthquake,0.29,1.21,,0,reviewed,ci,ci
2016-08-25T14:32:41.520Z,35.9921667,-117.9353333,1.48,0.32,ml,8,109,0.1045,0.15,ci,ci37145116,2016-08-25T16:01:31.108Z,"6km S of Coso Junction, CA",earthquake,0.34,0.57,0.02,4,reviewed,ci,ci
2016-08-25T14:32:31.530Z,35.9891667,-117.923,4.23,0.87,ml,15,89,0.0942,0.11,ci,ci37671432,2016-08-25T15:58:04.246Z,"6km NNW of Little Lake, CA",earthquake,0.21,0.56,0.223,12,reviewed,ci,ci
2016-08-25T14:30:43.000Z,67.1998,-142.9781,5,2,ml,,,,0.62,ak,ak13878677,2016-08-25T14:45:33.617Z,"123km NE of Fort Yukon, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-08-25T14:30:10.720Z,35.9886667,-117.923,2.84,2.23,ml,28,65,0.09399,0.1,ci,ci37671424,2016-08-25T16:37:24.204Z,"6km NNW of Little Lake, CA",earthquake,0.13,0.64,0.198,53,reviewed,ci,ci
2016-08-25T14:21:46.400Z,19.1231,-64.6875,45,2.5,Md,6,302.4,0.7051775,0.23,pr,pr16238009,2016-08-25T14:39:25.853Z,"78km N of Road Town, British Virgin Islands",earthquake,6.3,13.6,0,5,reviewed,pr,pr
2016-08-25T14:13:57.400Z,19.1933,-64.7269,17,2.9,Md,6,309.6,0.8578911,0.28,pr,pr16238017,2016-08-25T17:38:28.834Z,"86km N of Road Town, British Virgin Islands",earthquake,8.6,17.2,0,5,reviewed,pr,pr
2016-08-25T14:03:45.100Z,37.5951653,-118.946167,-0.66,1.18,md,11,213,0.02442,0.02,nc,nc72684936,2016-08-25T14:05:20.169Z,"6km SSE of Mammoth Lakes, California",earthquake,0.69,0.47,0.17,10,automatic,nc,nc
2016-08-25T13:58:52.000Z,68.4871,-147.1585,1,2.8,ml,,,,0.74,ak,ak13878670,2016-08-25T16:52:01.294Z,"78km WNW of Arctic Village, Alaska",earthquake,0.4,,,,reviewed,ak,ak
2016-08-25T13:58:23.800Z,19.2474,-64.7287,53,2.2,Md,4,327.6,0.91179001,0.25,pr,pr16238010,2016-08-25T14:47:47.003Z,"92km N of Road Town, British Virgin Islands",earthquake,7.3,15.7,0,3,reviewed,pr,pr
2016-08-25T13:57:09.500Z,19.1301,-64.6563,56,3.2,Md,9,284.4,0.70966907,0.25,pr,pr16238007,2016-08-25T14:23:08.886Z,"79km N of Road Town, British Virgin Islands",earthquake,4.5,8.2,0,9,reviewed,pr,pr
2016-08-25T13:56:29.500Z,18.891,-64.7165,84,1.9,Md,3,316.8,0.55875211,0.01,pr,pr16238008,2016-08-25T14:25:59.241Z,"53km NNW of Road Town, British Virgin Islands",earthquake,4.3,2.6,0,3,reviewed,pr,pr
2016-08-25T13:55:48.000Z,68.5037,-147.0407,5,2.8,ml,,,,0.61,ak,ak13878664,2016-08-25T14:18:25.632Z,"74km NW of Arctic Village, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-08-25T13:43:32.700Z,19.1714,-64.7248,51,2.1,Md,3,324,0.83543321,0.17,pr,pr16238016,2016-08-25T17:35:52.453Z,"84km N of Road Town, British Virgin Islands",earthquake,5.5,11.4,0,3,reviewed,pr,pr
2016-08-25T13:41:27.200Z,19.1669,-64.662,50,2.2,Md,4,327.6,0.83633153,0.23,pr,pr16238015,2016-08-25T17:30:46.861Z,"83km N of Road Town, British Virgin Islands",earthquake,6.9,14,0,3,reviewed,pr,pr
2016-08-25T13:37:46.700Z,19.1683,-64.722,50,2.3,Md,4,324,0.83363658,0.18,pr,pr16238014,2016-08-25T17:24:15.968Z,"83km N of Road Town, British Virgin Islands",earthquake,5.4,11.3,0,3,reviewed,pr,pr
2016-08-25T13:31:23.200Z,19.117,-64.8154,42,2.7,Md,4,320.4,0.77255114,0.07,pr,pr16238013,2016-08-25T17:18:55.255Z,"80km NNW of Road Town, British Virgin Islands",earthquake,2.8,7.5,0,4,reviewed,pr,pr
2016-08-25T13:31:01.450Z,-7.4339,128.0981,151.72,4.6,mb,,63,3.218,1.28,us,us20006tun,2016-08-25T13:46:01.040Z,"Kepulauan Barat Daya, Indonesia",earthquake,6.7,9.9,0.141,15,reviewed,us,us
2016-08-25T13:26:59.860Z,35.9526667,-117.6571667,3.32,0.94,ml,19,63,0.007277,0.11,ci,ci37671384,2016-08-25T15:01:14.283Z,"22km E of Little Lake, CA",earthquake,0.16,0.24,0.156,9,reviewed,ci,ci
2016-08-25T13:05:32.000Z,63.3716,-145.2033,5,1.3,ml,,,,0.75,ak,ak13878662,2016-08-25T13:21:14.133Z,"55km S of Deltana, Alaska",earthquake,0.6,0.3,,,automatic,ak,ak
2016-08-25T12:55:56.290Z,34.0293333,-117.2563333,17.02,1.6,ml,62,45,0.08092,0.2,ci,ci37671360,2016-08-25T13:06:38.200Z,"2km SSE of Loma Linda, CA",earthquake,0.25,0.51,0.19,26,reviewed,ci,ci
2016-08-25T12:39:11.000Z,61.679,-147.5762,30,1.5,ml,,,,0.63,ak,ak13878642,2016-08-25T12:54:09.463Z,"68km E of Sutton-Alpine, Alaska",earthquake,0.4,0.1,,,automatic,ak,ak
2016-08-25T12:38:30.490Z,35.3411667,-118.6151667,4.5,1.3,ml,17,99,0.1253,0.11,ci,ci37671352,2016-08-25T13:05:22.341Z,"24km NE of Arvin, CA",earthquake,0.25,0.68,0.154,16,reviewed,ci,ci
2016-08-25T12:37:39.400Z,18.992,-64.8513,34,2.2,Md,3,313.2,0.66026173,0.18,pr,pr16238012,2016-08-25T17:13:44.544Z,"68km NNW of Road Town, British Virgin Islands",earthquake,4,12.8,0,3,reviewed,pr,pr
